config,primitive,threads,read,cs,throughput_Mops,ns_per_op,bytes
write,cv,1,0,0,18.207192,54.9234,96
write,std_mutex,1,0,0,39.319914,25.4324,40
write,shared_mutex,1,0,0,28.322571,35.3075,56
write,ticket,1,0,0,78.704469,12.7058,8
write,atomic,1,0,0,96.827463,10.3276,8
write,cv,2,0,0,7.090009,282.0871,96
write,std_mutex,2,0,0,10.839430,184.5115,40
write,shared_mutex,2,0,0,5.319283,375.9905,56
write,ticket,2,0,0,11.484816,174.1430,8
write,atomic,2,0,0,29.015084,68.9297,8
write,cv,4,0,0,3.498791,1143.2519,96
write,std_mutex,4,0,0,12.261387,326.2274,40
write,shared_mutex,4,0,0,5.085918,786.4853,56
write,ticket,4,0,0,7.777448,514.3075,8
write,atomic,4,0,0,21.732772,184.0538,8
write,cv,8,0,0,1.478205,5411.9692,96
write,std_mutex,8,0,0,8.299920,963.8647,40
write,shared_mutex,8,0,0,4.147746,1928.7584,56
write,ticket,8,0,0,6.200240,1290.2726,8
write,atomic,8,0,0,26.800461,298.5023,8
write,cv,12,0,0,1.022411,11736.9638,96
write,std_mutex,12,0,0,10.173403,1179.5463,40
write,shared_mutex,12,0,0,4.002667,2998.0009,56
write,ticket,12,0,0,1.272450,9430.6288,8
write,atomic,12,0,0,24.401603,491.7710,8
write,cv,16,0,0,0.660341,24229.9153,96
write,std_mutex,16,0,0,8.767116,1825.0015,40
write,shared_mutex,16,0,0,2.122646,7537.7603,56
write,ticket,16,0,0,0.103581,154467.8427,8
write,atomic,16,0,0,23.821356,671.6662,8
write,cv,24,0,0,0.461539,51999.9143,96
write,std_mutex,24,0,0,10.266519,2337.6959,40
write,shared_mutex,24,0,0,0.998777,24029.3786,56
write,ticket,24,0,0,0.044206,542915.7208,8
write,atomic,24,0,0,24.339470,986.0527,8
write,cv,32,0,0,0.418569,76451.0278,96
write,std_mutex,32,0,0,10.264097,3117.6634,40
write,shared_mutex,32,0,0,1.924399,16628.5640,56
write,ticket,32,0,0,0.018392,1739882.4004,8
write,atomic,32,0,0,24.179216,1323.4507,8
read,cv,1,100,1000,0.569302,1756.5380,96
read,std_mutex,1,100,1000,0.630462,1586.1391,40
read,shared_mutex,1,100,1000,0.638175,1566.9687,56
read,ticket,1,100,1000,0.640277,1561.8251,8
read,cv,2,100,1000,0.452462,4420.2571,96
read,std_mutex,2,100,1000,0.466537,4286.9029,40
read,shared_mutex,2,100,1000,1.108601,1804.0755,56
read,ticket,2,100,1000,0.570640,3504.8353,8
read,cv,4,100,1000,0.299644,13349.1705,96
read,std_mutex,4,100,1000,0.316126,12653.1745,40
read,shared_mutex,4,100,1000,2.113270,1892.8010,56
read,ticket,4,100,1000,0.501998,7968.1641,8
read,cv,8,100,1000,0.186378,42923.5845,96
read,std_mutex,8,100,1000,0.309983,25807.8564,40
read,shared_mutex,8,100,1000,3.204083,2496.8141,56
read,ticket,8,100,1000,0.382277,20927.2555,8
read,cv,12,100,1000,0.150539,79713.4166,96
read,std_mutex,12,100,1000,0.297183,40379.1616,40
read,shared_mutex,12,100,1000,3.684067,3257.2697,56
read,ticket,12,100,1000,0.049108,244359.9429,8
read,cv,16,100,1000,0.154840,103332.6182,96
read,std_mutex,16,100,1000,0.307244,52075.8284,40
read,shared_mutex,16,100,1000,4.278623,3739.5213,56
read,ticket,16,100,1000,0.010254,1560376.6112,8
read,cv,24,100,1000,0.150238,159746.6628,96
read,std_mutex,24,100,1000,0.322970,74310.3939,40
read,shared_mutex,24,100,1000,4.436952,5409.1186,56
read,ticket,24,100,1000,0.001723,13930760.0506,8
read,cv,32,100,1000,0.169547,188738.0332,96
read,std_mutex,32,100,1000,0.324439,98631.6765,40
read,shared_mutex,32,100,1000,3.943004,8115.6405,56
read,ticket,32,100,1000,0.003467,9228612.3462,8
